"","lyrics"
"900","leave baby feel grudge leave baby feel grudge gonna game judge wasn bring home money misery go wasn bring home money misery go game play like baby know gonna sell clothe buy fresh robe gonna sell clothe buy fresh robe gonna leave poor weak mind body soul know gotta leave know treat like know gotta leave know treat like mistreat baby woman guilty"
"901","right rid breeze right live life right best right long lend hand phone ring wait tell wonder tomorrow bring maybe ring right wrong right gotta strong right long right everyday judgement maybe road away think wonder days maybe road somebody play purple haze right push come shove right right work fine right go line ashamed drive alive matter satisfy right grey right right remember live live right best forgive right rid breeze right live life right shine right go line"
"902","kick dollar fuck time lady piss laugh polish fist consider fist soul catch aby pack cigarettes fresh wonder lips dream wish heart desire kiss cold go freeze away tear come little closer near mind heart aside sense time ninetynine inside scar cry cold go freeze away tear come little closer near"
"903","blue blue tear eye tell blue plan fell time lonely till today go blue"
"904","black color true hair face soft wondrous fair purest eye strongest hand grind stand grind stand black color true hair true hair true hair lover know grind go time come pray time come black color true hair true hair true hair"
"905","twinkle twinkle little come lectric mean look right gonna shoot somebody long tend come shin say arrest hmmm shoot hole right chest long know wrong break game goin break windows knock stuff uhuh lyin dead barroom floor long doctor reach grab hold hand felt pulse doctor say believe soul dead long hightail carriages standin takin buryin grind hightail carriages rubbertired hack graveyard goin bring long women hear dead home rerag come slippin slidin shufflin street mother hubbards stock feet long know wrong break gigs goin break windows knock stuff lyin dead barroom floor long"
"906","drum roll trumpet people shout strike band hear cymbals ring callin martial swing strike band work come stand fall line come leader strike band work come stand fall line come leader strike leader strike leader strike band"
"907","baby want kiss squeeze miss hold hold arm baby want things better understand want baby mean maybe want pretty baby talk maybe hold hold arm child baby want prepare satisfy want baby mean maybe single hold hold arm"
"908","somebody love good love near need cheer taller tallest tree feel deeper deep blue deep go real somebody need good need good lean years years come know road lead fool sure gonna"
"909","mama stay night long lord mama stay night long care boogiewoogie come people walkin street everybody talkin swing club decide drop night people havin ball know boogie chillun night layin hear mama papa talkin hear papa tell mama boogiewoogie come felt good go boogie"
"910","embrace sweet embraceable embrace irreplaceable look heart grow tipsy bring charm want arm naughty baby come mama come mama sweet embraceable charm want arm naughty baby come mama come mama sweet embraceable"
"911","thrill change rain thrill fill heart pain pride merely plaything toss thrill life song thrill free have cause heart stand thrill baby heart stand thrill"
"912","goin stop gonna tell hear boyfriend start talkin tell know gonna break signifyin cause somebody wife dollars downtown margarine get streets stop knock blacken get home tell husband start talkin tell know gonna break signifyin somebody borrow money beauty shop honk horn begin stop say baby block goin beauty shop hair sock start talkin tell know break signifyin somebody"
"913","blue sky smile blue sky bluebirds sing song bluebirds long shin bright things go right notice days hurry blue days go blue sky shin bright things go right notice days hurry blue days go blue sky"
"914","difference twentyfour little hours bring flower rain yesterday blue dear today dear lonely nights dear say lord difference theres rainbow sky moment thrill kiss heaven romance menu difference difference"
"915","steal heart away go learn dance take night climb machine cruise know swing little joint jump shout highway long ride open walk inside little cutie take thank time scene joint jam steal heart away go learn dance take night want hear music like boys play hold tight foot away heat overcome play loud music intrigue crowd dance know wish eye baby dance good steal heart away go learn dance take night steal heart away learn dance take night"
"916","woman find time manicure nail woman perfect rival fail see curl hair woman enchant clothe perfume woman keep fresh flower room toy scatter come wait like lonesome queen cause change routine woman sleep woman years woman spend life woman sleep woman years woman spend life"
"917","slippin slidin long tall peekin hidin duck wanna updon wanna dance brand lover short visit heartbreak hotel thats sure look swell tell love leave arm give fever tutti fruitii child watch like hound step blue suede shoe honky tonk party night jealous start fight club dancin dandy rescue short hearts desire short set soul monday marry blueberry tutti fruitii child watch like hound step blue suede shoe honky tonk party night jealous start fight club dancin dandy rescue"
"918","glooooriaaa glooooriaaa maybe love know maybe love know glooooriaaaa meeeeeeee glooooooriaaaa"
"919","come hear come hear ragtime band come hear come hear best band land play bugle like hear natural want bestest band land come come hand leader band want hear swanee river play ragtime come hear come hear ragtime band"
"920","catch cry cry door daddy dirty sure want catch lie lie door daddy turn salty baby sore baby wail beat head pavement till come throw jail whoa know dirty want"
"921","lump throat comin aisle wiggle knees look sweetly smile stand record machine lookin like model cover magazine cute minute seventeen think mood need break oughta dance come shake little little little tell queen stand record machine lookin like model cover magazine cute minute seventeen thinkin slow song omit rocker good admit little little little"
"922","deep louisiana close orleans woods evergreens stand cabin earth live country name goode learn read write play guitar like ring goode guitar gunny sack beneath tree railroad track engineer sit shade strum rhythm drivers people pass stop little country play goode mother tell someday leader band people come hear play music maybe someday light say goode tonight goode"
"923","time time hear love time time tell love even know know pass years keep young time time hear love know know pass years keep young time time hear love time time hear love"
"924","head linger like haunt refrain spin round brain like bubble glass champagne head like sparkle burgundy brew mention like kicker julep thrill think think plea cast spell hold head smile make temperature rise like summer thousand julies intoxicate soul eye certain heart hasn ghost crazy romance head"
"925","away music broadway berlin quarter kern gershwin keep pound civil hear drivel nightclubbin souse free easy waltz vienneasy tell band want hand waltz strauss oompapah want lilt house want strauss laugh sing world rhyme swing threequarter time danube flow fledermauss wine song strauss jove jing strauss thing hachacha heraus oompapah strauss bridge danube flow fledermauss wine song strauss jove jing strauss thing hachacha heraus oompapah strauss"
"926","silverman fairest trinidad wander sailor steal heart tomorrow tomorrow meet village square darlin moon young hearts hear know heart stay tomorrow tomorrow meet village square darlin heart sail hear sigh come wind wave whisper mournfully tomorrow tomorrow meet village square darlin tomorrow tomorrow tomorrow tomorrow"
"927","machugh loesser long eye come little visions shouldn mustn mood feel mood night lips appeal thrill go today usual arm dream fool dream twasn scheme sigh tell say play dumb mood heartbreak come feel night lips appeal thrill go today usual arm fool dream sigh tell play play dumb mood heartbreak heartbreak come"
"928","goodman chick razaf savoy home sweet romance savoy win glance savoy give feet dance form like cling vine lips warm sweet wine cheek soft close divine heart sing band swing tire romp stomp savoy perfect holiday savoy glide sway savoy stomp away home sweet romance win glance give feet dance like cling vine soft sweet wine soft close divine heart sing band swing tire romp stomp savoy perfect holiday savoy glide sway savoy stomp away"
"929","time religion time religion time religion good good mother good mother good mother good good hebrew children good hebrew children good hebrew children good good good good good time religion time religion time religion good good father good father good father good time religion time religion time religion good good hebrew children good hebrew children good hebrew children good want time religion want time religion want time religion good"
"930","gonna days home gonna woman telephone gonna send worldwide hoodoo thing suit gonna days days days days days gonna gonna send worldwide hoodoo thing suit gonna days gonna talk judge private early mornin nearly take sheriff office sign warnin gonna fore charge thing send gonna days days days days days gonna gonna send worldwide hoodoo thing suit gonna days days days days days gonna gonna fore charge thing send gonna days"
"931","anymore leave anymore go shed million tear apart tear mend break heart sigh anymore forget close door memories arm longin goodbye anymore sigh anymore forget close door memories arm longin goodbye goodbye anymore"
"932","life know lot sorrow time suffer great pain poor heart mend break face dream time wonder wonder long wander time pause recall good time memory grow hazy bring face lovers go wind face search time know impossible wonder wonder long wander time wonder wonder night long time life mean journey business suitcase home grow weary like complain travel road stumble crossroads leave misery misery time wonder wonder long long long face pass long take long lord take long lord long wander wander time"
"933","sellers go long go long baby tell go long love stay home night know treat right go long go long baby tell go long go know truth go slow go long go long baby tell go long tell baby push favour go long go long baby tell go long go long go long"
"934","girl world matter world today love garden wonderful things wonderful things girl world garden wonderful things wonderful things girl world"
"935","wander yonder waste precious time reason rhyme pity crime journey end splendid meet today give wonderful idea stay funny thing look thrill know pity like dream perfect team pity imagine lonely years waste fish lose backgammon joy untasted nights sour spend schopenhauer forget past agree pity bridge awful pity"
"936","certain feel time ceiling forget completely sweet want phrase sing praise certain feel know conceal feel feel bridge felt happen come view grow sort dizzy think certain feel confess appeal word express hide confide feel feel"
"937","walk right drive shadow away walk right bring sunniest magic moment heart know say hello word speak look forget gloom past look future look world completely walk"
"938","swing sweet come home swing sweet come home look yonder come home band band angels come come home swing swing sweet come home swing swing sweet come home swing swing sweet come home swing swing sweet come home come home tell friends come come home swing swing sweet come home swing swing sweet come home swing swing sweet come home swing swing sweet come home swing swing sweet come home"
"939","bergman face room face try hard stare strange place baby look know laugh foolish think forget wish girl take place try hide write face guess extremes go prove care anxious meet dream hang"
"940","little tenderness little tenderness know know wait anticipate things possess little tenderness sentimental greave care word sweet gentle make easier make easier regret forget happiness easy easy little tenderness"
"941","sigh blue lonely long till song cause know goround steal borrow wouldn heal pain soul prelude sorrow heartbreak ahead goal know leave blue lose goodbye prelude sorrow heartbreak ahead goal"
"942","zoom zoom zoom zoom world mess politics tax people grind ax happiness zoom zoom zoom zoom rhythm lead future fret slap bass happiness riddle listen bass fiddle slap bass slap till dizzy slap bass rhythm busy zoom zoom zoom misery slap bass like tonic slap bass philharmonic zoom zoom zoom milk flow dictators better zoom zoom today happiest rhythm want bauble slap bass slap away trouble learn zoom zoom zoom slap bass bridge dictators better zoom zoom today happiest rhythm want bauble slap bass slap away trouble learn zoom zoom zoom slap bass zoom zoom zoom zoom zoom zoom zoom zoom zoom zoom zoom zoom"
"943","paradise refuse pair everybody excuse walk shadow lose star forseeing forever bind forever plain find wait hearts end start lovely world world world store forever instrumental bridge lovely world world world store forever"
"944","blue disposition depend mind rain sky eye hate hate cause blue disposition depend mind rain sky eye hate hate cause"
"945","tear shed burden time right wrong gonna press word till battle fight victory save seat tell mother save save seat save seat save seat home save seat save seat save seat want save save seat save seat save seat want save save seat save seat save seat level level grind save seat"
"946","sentimental try fall kill cause take advantage like apple bough gonna shake cook cause take advantage bother know elbow suffer awful time worse near bridge burn babe arm concern lock doors cause take advantage"
"947","nutter borek guion go spend lonely night deal card leave right hearts remind play solitaire game mean heart lose shuffle play solitaire romance element gamble lose play play game rule fool joker laugh cause play hand carelessly wanna share feel deal time away solitaire want share feel deal time away deal time away solitaire"
"948","fall say lock heart feel stop heart like frigidaire need care leave think care need share slave hound swear deep devotion emotion good spring mean good neighbor things"
"949","suddenly start sing stand head think lose sense happiness finally commence long long age dull despair turn suddenly happiest girl alive things look look landscape cover leaf clover things look look bitter mourner certainly turn corner things look look sunbeams beam session depression unmistakably things look great little world live look sunbeams beam session depression unmistakably things look great little world live look"
"950","rodgers hammerstein things like like want things like mamma say mourn pretend wonderful know adore restless windstorm jumpy puppet string spring fever know spring starry eye gravely discontent like nightingale song sing spring fever spring wish walk strange street hear word hear meet busy spider spin daydream giddy baby swing see crocus rosebud bluebird wing feel melancholy spring spring"
"951","gamble casino reno tell beginner come winner beginner fish flounder catch pounder hear think absurd believe word beginner luck time gosh beginner luck smile eye blue gosh fortunate thing begin pastime time time time beginner luck cause time bridge thing begin pastime time time time beginner luck cause time time time"
"952","change grow long today tomorrow go love years go think change go change change weather change change walk different talk nothin go goin change wayof livin change strut stuff cause want change today change time things best good rest goin things cause certainly suit time think today days seek goin seek things change fashion femine folks change joke change things goin change long tall daddy little short goin change number live lovin fade away change today change today"
"953","worry bout forget little story end sensible remain friends look rule heart fool baby stop cling fade thing forget worry bout"
"954","lovers sweethearts hard understand know happen know start strangers plan face anyplace people stop stare hard everybody know leave talk time meet heart skip beat stop speak week everybody know leave talk send invitations friends relations announce weddin friends relations give congratulations face sweetheart stay apart foolish pride like end talk face sweetheart stay apart foolish pride like end talk talk"
"955","head linger like haunt refrain spin round brain like bubble glass champagne head like sparkle burgundy brew mention like kicker julep thrill think think plea cast spell hold head smile make temperature rise like summer thousand july intoxicate soul eye certain heart hasn ghost crazy romance head head"
"956","music speak start hear musicians like dizzy gillespie recommend somebody music study hungrier hungrier sound electronic instrument keyboard instrument electronic pianos particularly like fender roads electric piano electric clavinet like electric clavicord string little rubber hammer string press like think sort guitar like clavinet sound wahwah thing go kinds things signal source alter sound wahwah peddle wahwah sound clavinet keyboard instrument truly keyboard instrument small synthesizer universe sound representative trillion sound grind zero preconceive ideas go play rhythmically melodically harmonically know go emerge moment moment real leader kind music focus shift music come right center room vehicles direction begin somepoint emerge explosion kind walk jazz time like"
"957","hand stranger paradise lose wonderland stranger paradise stand starry eye danger paradise mortals stand like face ascend common place rarest space hang suspend know care answer fervent prayer stranger paradise send dark despair hunger open arm stranger paradise tell need stranger"
"958","zinga zinga zinga zinga zinga zinga zinga zingboom zinga zinga zinga zinga zing boom funny keep sing zinga zinga zinga zinga zing boom memory keep ring zinga zinga zinga zinga zing boom work charm hearts cling start dance ticket romance music play dancers sway cabellero feel cupid arrow dance true heart zinga zinga boom zinga zinga zinga zinga zing boom escape music get zinga zinga zinga zinga zing boom forget let zinga zinga zinga zinga zing boom worry upset thing away blue zinga zinga zinga zinga zing boom music play dancers sway zinga zinga boom cabellero feel cupid arrow zinga zinga boom dance true zinga zinga boom heart zinga zinga boom zinga zinga boom zinga zinga zinga zinga zing boom zinga zinga zinga zinga zing boom escape music get zinga zinga zinga zinga zing boom forget let zinga zinga zinga zinga zing boom worry upset thing away blue zinga zinga boom zinga zinga boom zinga zingaboom zinga zinga boom boom"
"959","honest dear remember dear true wander land honest poor heart break dear untrue asleep awake dear dream darling honest return dear kinda yearn dear forget dear sweet memory honest"
"960","wish simple wish wish wish days gladness sweet true second wish dream house cozy fireside wish wish wish days gladness sweet true second wish dream house cozy fireside wish"
"961","softly sigh close maybe agree hand magic land seek constantly tingle tingle mingle pretend begin play stay try tingle tingle mingle pretend begin play stay try"
"962","leave know grieve remember absence make heart grow fonder somebody dearly sincerely remember absence make heart grow fonder somebody away mice play blue away fretful forgetful remember absence make heart grow fonder somebody away mice play blue away fretful forgetful remember absence make heart grow fonder somebody somebody"
"963","vieni vieni vieni come years long wait vieni vieni long wait vieni vieni"
"964","need need shame funny funny funny money need stick like glue funny funny funny money confess money happiness poor doubt miserable spend wiser save miser want cuckoo funny funny funny money money shut sing sing like like want sing sing sure right need badly folks gladly need nut funny funny funny money frighten internal revenoooooooo funny funny funny money bird sing eat wind wing ideal live folks affirm suppose woman thing germs sanitary thank funny funny funny money mumble jumble need need need need want shame funny funny funny money need need stick like glue funny funny funny money money money funny funny funny"
"965","label vitamin like vitamin alright like vitamin vitamin doggone care shine lovin even time baby go go meet baby kiss kiss kiss kiss time kiss time like keep score care shine lovin even time baby kiss kiss kiss kiss time kiss time like keep score care shine lovin even time baby"
"966","weep maverick nigga inadequate girl spend money teach better bitch woman excuse mouth foul lately champion live life toast good fuck negative guess competitive life true lesson damn bunch fake solitary spend time perish expect leverage believe evolution heaven fall catch lord open grate right sale soul bruh quickest situation change wrong route children today guidance leave supper fee knowledge ways want see niggas gossip body success appreciate iching real shit real discussion want resurrection judgment funny niggas change little money work know bless lord guide devil yeah scream need help flesh paris mind right fuck money soul hoe good swear haters want plot dare early worm catch grow shit nigga adolescence stand tall game jermone bettis basic kill shit need medic niggas want high jumpers knee feel like hundreds count grow pedestal capture moment go yeah typical fuck niggas cause mission bigger hurt know ones dirt ball shuttleworth take nigga drop come bench starter hood niggas play key erroll garner"
"967","shear quintet lovely lengthen even sigh goodbye walk remember content love lips warm spring afraid autumn sorrow remember dwindle glow ash flame live little forget lonely remember smile"
"968","arm adorable deplorable lips kissable permissible share heart lonely hold arm adorable deplorable arm adorable kissable permissible share heart lonely hold arm adorable adorable deplorable"
"969","affair wondrous thing rejoice remember bear embrace tear time space affair flame burn eternity hand fervent prayer live share affair remember hand fervent prayer live share affair remember"
"970","drink miserable miracle sink belly cherryfalls bouncin wall live dead night constant fight socialite tide darken room look gloom leave soon scar find scar grow know mean burst seam souled fuel ears leave fear know live fast smoke joke unrestrained come gonna feel pain piss drain week tire campaign interchangeable see see like trouble trouble free scar find scar grow know mean burst seam souled fuel ears leave fear know live fast scar find scar grow know mean burst seam souled fuel ears leave fear know live fast"
"971","leave come tumble remember september rain go like die september rain word hear whisper raindrops play sweet refrain spring september september rain word hear whisper raindrops play sweet refrain spring september september rain september bring pain september rain"
"972","pick deep breath dust start impossible chin grind pick dust start lose confidence slip grateful pleasant pick dust start work like soul inspire battle sick tire remember famous fall rise pick dust start work like soul inspire till battle sick tire remember famous fall rise deep breath pick dust start"
"973","care forever end world splendid care dear true lips eye blue handsome sweet simply lift feet"
"974","know know choose lose wish know long hold arm time time twill soon goodbye time starlight hold tight little kiss nightynight know know choose lose wish know long hold arm time time twill soon goodbye time starlight hold tight little kiss nightynight"
"975","look shuffle shuffle ramble scramble head hustle bustle buzz happily wait station look train number sevenonine huff puff arrive time think arrive band dixieland gonna play muskrat ramble tune hear play ready parade come join throng feel beat ramble scramble muskrat song come ramble look shuffle shuffle look band parade look happiness go everybody celebrate look drummer entertain gang cling clang bang change dead alive band dixieland gonna hear play dixieland better reservation plan person night stand come folks come join throng feel beat shuffle scuffle muskrat song come ramble"
"976","naughty eye naughty eye certain certain party know mean certain party naughty eye turn nose cheek pretty clothe smarty love ways sure love ways certain party remember time vaudeville sure joke like stand head high better sing know know certain certain party forget forget certain party know forget smarty certain party babble hold hold sing shorthand speed better babble wiener schnitzel certain certain party babble hasenpfeffer certain party know forget smarty certain party certain party certain party"
"977","bring pretty roses bottle wine table ready baby dine buy candle stick candlelight glow write little note tell wish know baby hasn come quarter blue bluest blue bluest bluest blue blue blue bluest blue blue have date come minutes late greet kiss sigh sweet kiss goodbye wonder tire imagination have spree blue bluest blue bluest bluest blue blue blue bluest blue blue leak drip sink suddenly radio go blink fall apart rain rain heart like loon watch moon sit hop wait baby come soon"
"978","come bout quarter bring bring bring brothers bring sing song like jeru lovely people road sing song jeruvian mode pref rence rence write song like jeru kind tell write extend bridge romance haunt reverie come bout quarter come early late invite delight sing little song like jeru gather tale tell maybe maybe listen friend blowin away doin alright plain workin night listen movin coverin grind singin song lovin sound listen blow bird feather playin blue rhythm moment come warn cool tell story payin dues assist unexpected borning twas birth cool tell try tell listen come york reverie come bout quarter forget versify better start try write song jeru"
"979","home tell sorry mean mean home hold arm dear want near cause moment close door hear know act blindly couldn good home hold arm dear want near cause moment close door hear know act blindly couldn good home forgive want"
"980","come little children come christmas tree windows christmas snow mistletoe christmas hear church bell ring hear choir sing silent night float holy night bring peace heart message come peace earth christmas christmas tree windows christmas snow mistletoe heart message come peace earth christmas christmas"
"981","kiss like drug get habit stay arm addict charm get habit think leave couldn supply need break away everyday regularly coffee clutch break free get habit"
"982","better watch better better pout tell santa comin make list check twice gonna naughty nice santa comin see sleep know awake know good good goodness sake better watch better better pout tell santa comin santa comin santa comin santa comin santa comin better watch better better pout tell santa comin make list check twice gonna naughty nice santa comin see sleep know awake know good good goodness sake better watch better better pout tell santa comin santa comin santa comin santa comin santa comin santa comin santa comin santa comin santa comin santa comin"
"983","come play sailors polka navy blue girls polka sailor try true music moonlight navy know come play sailors polka navy blue band start aplaying fleet come sail hooraying good time begin gobs gobs miss wait shore gobs gobs kiss gobs long drop anchor hear music start pretty girl hanker sailor heart yeah band start aplaying dance begin fleet come sail come play sailors polka navy blue girls polka sailor try true music moonlight navy know come play sailors polka navy blue"
"984","sweetest thing music sweetest thing earth bring happiness rything story strangest thing song bird wing shall hearts sweetly sing story heart desire fate send tale tire song greatest thing oldest latest thing fate bring story"
"985","arm away arm thrill carres yesterday hungry heart hour gladness know past moment madness hold fast blind charm stardust arm goodbye"
"986","go spend lonely night deal card leave right queen hearts remind play solitaire game mean heart lose shuffle play solitaire romance element gamble lose play play game rule fool joker laugh play hand carelessly want share feel deal time away solitaire want share feel deal time away solitaire"
"987","sail moonlight hear voice ring steal heart sing sweet song moonlight sail moonlight hear voice ring steal heart sing sweet song moonlight sail moonlight hear voice ring steal heart steal heart sing sweet song moonlight sail moonlight moonlight"
"988","slave slave rule night star moon bright turn life world bow humbly plead friends crowd turn need rule earth life hadn right world bow humbly plead friends crowd turn need rule earth life hadn right"
"989","blue blue till mood indigo feelin go stealin shoe sigh long blue mood indigo baby say goodbye evenin light lonely cause care poor fool bluer blue mood indigo blue blue till mood indigo feelin go stealin shoe sigh long blue"
"990","sleigh bell ring listen snow glisten beautiful sight tonight walk winter wonderland go away bluebird stay sing song walk winter wonderland meadow build snowman pretend parson marry later conspire dream face unafraid plan walk winter wonderland meadow build snowman pretend circus clown lot mister snowman kid knock snow thrill nose get chill frolic play eskimo walk winter wonderland walk winter wonderland walk winter wonderland"
"991","hook wish wish days younger dont know summmer everybody lookin wrong game think turn game illest fuckin ghost demons fight close clean look write shit game messy dont text beat swing young dizzy gillespie write best hat rest high school wouldn dont know like thing contemplate dream young givin thats rhyme young blowin damn time sittin thinkin choices makin everybody swag high expectations self esstem couple match shirt walk city streets beat kickin dirt positive mind place change live inside hook wish wish days younger dont know summmer everybody lookin wrong rapper game gotta talk niro pay fuckin hero tell skinny look mirror talk real shit munchin cereal forth time ryhmes young schizophrenic shit forget couple bitch dont text stick friend zone blame dead zone twist like illiterate rappers shit bump sittin traffic modern flesh steady bottlin stress bass hit chest fall kill bullshit remember bullshit stutter track tell girl grab rubber summer hook wish wish days younger dont know summmer everybody lookin wrong"
"992","dear nearness treasure dear kiss wine wonder heart madly madly beat beat repeat wonder heart madly madly beat beat repeat"
"993","solitude haunt reveries days go solitude taunt memories chair fill despair gloom rywhere stare know soon solitude pray dear lord send alternative lyric solitude haunt reveries days go solitude taunt memories chair fill despair gloom rywhere stare know soon solitude pray dear lord send"
"994","maybe right maybe wrong maybe weak maybe strong maybe maybe lose maybe cry blue know glance terrible chance take fine start leave heart break maybe live life regret maybe know glance terrible terrible chance take fine start leave heart break maybe live life regret maybe"
"995","baby croon croon tune heart hang cradle mammy right masoned dixen line swing tennessee weep lady sing song sing black knees million baby kiss deliver play swanee river baby weep lady sing song sing black knees million baby kiss deliver play swanee river baby"
"996","somebody somebody somebody somebody handsome face feet tall picture wall baby kiss wouldn mind somebody somebody somebody somebody know act oughta know wouldn dream hurtin pass cause know somebody somebody somebody somebody strong wouldja like feel muscle brdoris bold brbuddy lose tussle brdoris moment away brbuddy tcha brdoris want today brbuddy brdoris brbuddy happen brdoris possibility brbuddy tcha tell brdoris somebody brbuddy tell true brdoris brbuddy brdoris somebody brbuddy brdoris brbuddy maybe brdoris somebody brbuddy brboth somebody brbuddy confess brdoris tcha guess brboth tell tell brdoris promise breathe word brbuddy absurd brdoris strictly entrenous brbuddy brdoris brbuddy confidentially brdoris brboth confidentially brdoris somebody brbuddy news brdoris somebody brbuddy feel brdoris somebody brbuddy true brboth somebody"
"997","smile kiss adieu cloud roll come sky blue lover dearie wed bell ring tear memory pray night till meet goodbye mean birth tear drop hello mean birth smile smile erase tear blight meet awhile smile kiss adieu cloud roll come sky blue lover dearie wed bell ring tear memory pray night till meet"
"998","split flow scorch likelike thousand fist lord guanyin raise thousand arm watch thousands multiply preacher preach ask hear say right bump plenty time try gamble life play odds shit favor rude bwoy jamaica shotta haters dummy act little funny menace mamma look little humble little cunning little soup pumpkin wanna wanna appreciation rraising key push start push button work play like wasn maybe ways archaic sith republic better republican delegate state like finish start beginnings start forward play like arsenal soul shit deadly know behead like pole foresee similar genius flow ahead different echelon different pedigree tell remember"
"999","know know ease drug want daughter want album wait fake rappers try bite style cause hungry hell fee rappers fee beat verse hook world shake prime go best rapper alive start wheezy baby change time game real show rappers record label struggle knock hustle take label disrespect simmons money like givens check blueprint come live hard knock life reasonable doubt ride outcome volume life black album cause year stiff hearst cause good young gift curse little things throw dynasty kingdom come respect gonna hova know minute number play music party people hear music reach damn tell friends flow friend friend friend label dope say spit sick rhyme cold need probably strep throat know listen time speak cause jewel gleam speak true mean know drink lean smoke joint blaze anticipate destroy game pump steroids proud represent brigade yeah forget tell bring pardon little hazy catch moment little crazy vision blur little clearer rap mirror say great say take time ask cause long await finally take place instead kelkay"
"1000","wham thank satisfy know smile flip go plum wild know cause wham break heart wham thank satisfy take heart apart hurt deep inside fool crush pride wham thank satisfy look think know game play shirt tail right like window shade cross heart start cause wham break heart wham thank satisfy take heart apart hurt deep inside fool crush pride wham thank satisfy mess things guess recognize young thing try lovelight light speak flame cause meet light right wham thank satisfy take heart apart hurt deep inside fool crush pride wham thank satisfy"
"1001","thrill wait lips spin touch lips dance sigh winter forever warm feel dream crime want time sigh winter forever warm feel dream crime want time want time"
"1002","feel hate hate feel closest flame closer blade yeah poison crazy lush build hand lift servants formulaic ways scream daisies away time today mind need help mind mind mind limbo limbo know fear indian summer sign life away greedy away mind need help mind mind mind mind need help mind mind mind mind mind mind mind mind mind mind"
"1003","paris chestnuts blossom holiday table tree paris feel reprieve know charm spring face face know heart sing miss warm embrace paris heart know charm spring face face know heart sing miss warm embrace paris heart"
"1004","baker mulligan quartet leave lonely believe lonely somebody night time right time kiss night time time reminisce regret instead forget somebody intend independently blue want want borrow today tomorrow"
"1005","second second heart darlin time swear lifetime share tear apart second hold surely know cling devotion darlin second darlin second second heart darlin time swear lifetime share tear apart second hold surely know cling devotion darlin second"
"1006","tell tell wouldn hurt spread story little personal touch nothin till hear attention say people tear seam dream head nothin till hear consider romance word hear true see mean untrue apart word heart reveal feel kiss cloud memory arm hold thrill nothin till hear nothin till hear nothin till hear attention say people tear seam dream head nothin till hear consider romance word hear true see mean untrue apart word heart reveal feel kiss cloud memory arm hold thrill nothin till hear"
"1007","fear dark fear thunder fear silence spirit dead instead fear avarice deceipt bend neighbor best friend hearts mind know escape show temptation fear lie ahead deadly sin consider friends today trust risky cower seek shelter moral decay follow fool dare care trust believe lie sick mind harbor news propaganda machine demand worst good seven deadly sin airplay"
"1008","deep dark jungles africa goddess natives beticha beticha beticha beticha beticha beticha beticha story tell maid fade tale beticha beticha beticha beticha beticha beticha beticha song delight night natives sing beticha beticha beticha wise spirit lover leave long music lover hearts aglow moonlight bright soft wind sighin night matter close heart beticha beticha beticha beticha beticha beticha story tell maid fade tale beticha sing beticha sing beticha sing beticha sing beticha"
"1009","east moon build dream house dear close near moon night live lovely dear share pale moonlight forever star life lovely tune east moon dear east moon"
"1010","say love place pray dumb thing busy blasé wish vain bind prone unkind wish turn time audacious ignore precious wish think footloose free blind light turn true rule flatter fool time laws allow ask care attention wish"
"1011","try hard dear dream afraid thing evil scheme memory lonesome past keep apart free doubtful mind melt cold cold heart time heart blue heart pay things anger unkind word say teardrops start free doubtful mind melt cold cold heart time believe belong know heart shackle memory learn care drift apart free doubtful mind melt cold cold heart"
"1012","kiss kiss miss miss kiss heavenly affection hold hold close hold heart protection thrill thrill charm arm life perfection kiss kiss darling kiss dream come true thrill thrill charm arm life perfection kiss kiss darling kiss dream come true"
"1013","head linger like haunt refrain spin round brain like bubble glass champagne head like sparkle burgundy brew mention like kicker julep thrill think think plea cast spell hold head smile make temperature rise like summer thousand julys intoxicate soul eye certain heart hasn ghost crazy romance head head head"
"1014","quanto sonno agiu perso famme durmi notte abbraciata quanto sonno agiu perse famme durmi world window sweet sing thee star shine thee listen"
"1015","mellow tone feel free company live long mellow song wrong mellow tone live mope groan gotta laugh play unknown mellow tone mellow tone mellow tone feel free company live long mellow song wrong mellow tone live mope groan gotta laugh play unknown mellow tone mellow tone mellow tone"
"1016","earth couldn tell try dear dear go away leave glow spark try whistle dark come borrow sorrow know tomorrow drift apart lose heart step stone help dream drift apart leave heart step stone help dream"
"1017","peterson hear song blue like cry heart serenade prelude kiss hear song grow tender sentimental woes heart try compose prelude kiss simple turn symphony shubert tune gershwin touch song gently cry tenderness eye prelude die prelude kiss simple turn symphony shubert tune gershwin touch song gently cry tenderness eye prelude die prelude kiss"
"1018","damn damn damn damn grow accustom face make begin grow accustom tune whistle night noon smile frown down second nature like breathe breathe serenly independent content surely grow accustom look accustom voice accustom face speak infantile idea heartless wicked brainless thing regret doom eynsfordhill wretched little flat store till collector beat door teach things teach sell flower instead beg bread water husband breakfast year prematurely grey blossom cheek turn chalk come home up away socialclimbing heiress york poor simply frightful humiliate delightful poignant inevitable night hammer door tear rag miserable lonely repentant contrite hurl wall kindness treatment deserve throw baggage forgive sort position staunchly budge forgive shall crawl knees promise atone shiver moan slam door hellcat freeze hear good morning joy woes highs low second nature like breathe breathe grateful woman easy forget like habit break grow accustom accustom face"
